"id","location_id","head_code","head_name","parent_id","level","supplier_id","customer_id","deleted_at","created_at","updated_at"
"1","1","1001","Assets",NULL,"0",NULL,NULL,NULL,"2024-10-03 16:19:15","2024-10-03 16:19:15"
"2","1","2001","Liabilities",NULL,"0",NULL,NULL,NULL,"2024-10-03 16:19:15","2024-10-03 16:19:15"
"3","1","100","Tax","0","-1",NULL,NULL,NULL,NULL,NULL
"4","1","10012000001","Cash In Hand","1","1",NULL,NULL,NULL,NULL,NULL
"5","1","10013000001","Inventory","1","1",NULL,NULL,NULL,NULL,NULL
"6","1","10014000001","Expenses","1","1",NULL,NULL,NULL,NULL,NULL
"7","1","10015000001","Receiveables","1","1",NULL,NULL,NULL,NULL,NULL
"8","1","20012000001","Capital","2","1",NULL,NULL,NULL,NULL,NULL
"9","1","20013000001","Revenue","2","1",NULL,NULL,NULL,NULL,NULL
"10","1","20014000001","Payables","2","1",NULL,NULL,NULL,"2024-10-03 16:19:15","2024-10-03 16:19:15"
"11","1","20015000001","Sales Tax","10","1",NULL,NULL,NULL,NULL,NULL
"12","1","20015000002","POS Fee","10","1",NULL,NULL,NULL,NULL,NULL
